model,calibrator,split,cp_detector,cp_model,cp_penalty,cp_min_size,cp_jump,cp_period_length,cp_exclusion_radius,cp_score_threshold,num_windows,MAE_CP,tolerance_hit_rate,mean_signed_error,coverage_rate,sharpness,delta_MAE_CP,delta_tolerance_hit_rate,delta_coverage_rate,delta_sharpness,coverage_gap
tft,global_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.084173228346457,0.5790944881889764,-4.304094488188976,0.9620946726707699,-0.23330725034789893,-2.3015024473292183,0.11747286656735473,-0.006020656322102136,-2.327976031692594,0.012094672670769913
tft,gradient_boosting,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.010236220472441,0.33456692913385827,-0.004094488188976378,0.9648140992654801,-0.02552343293836849,-2.3754394552032343,-0.12705469248776335,-0.0033012297273918856,-2.1201922142830636,0.014814099265480163
tft,per_series_median_offset,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,4.990551181102362,0.5716929133858267,-3.2440944881889764,0.9627795652946228,-0.1669961104752052,-2.395124494573313,0.1100712917642051,-0.005335763698249174,-2.2616648918199003,0.012779565294622874
tft,random_forest,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,1.7812992125984253,0.8214566929133859,0.009881889763779527,0.9655173045263344,-0.031147465005870126,-5.60437646307725,0.35983507129176423,-0.002598024466537563,-2.125816246350565,0.015517304526334486
tft,raw_tau,train,clasp,normal,10.0,8,1,16,0.05,0.5,25400,5.084173228346457,0.5790944881889764,-4.304094488188976,0.9620946726707699,-0.23330725034789893,-2.3015024473292183,0.11747286656735473,-0.006020656322102136,-2.327976031692594,0.012094672670769913
tft,extra_trees,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.58,0.18805555555555556,2.851111111111111,0.9760125379112188,1.7244284220666568,-1.8056756756756753,-0.27356606606606604,0.007897208918346776,-0.37024035927803833,0.026012537911218825
tft,global_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,3.607222222222222,0.7263888888888889,-1.1927777777777777,0.9748661316770907,1.610373573051315,-3.7784534534534533,0.26476726726726724,0.006750802684218682,-0.48429520829338024,0.02486613167709073
tft,gradient_boosting,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.3825,0.1922222222222222,2.555833333333333,0.9760270493825369,1.7245026631617757,-2.003175675675675,-0.2693993993993994,0.007911720389664922,-0.37016611818291945,0.02602704938253697
tft,per_series_median_offset,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,4.073333333333333,0.6761111111111111,-0.13277777777777777,0.9753304987592692,1.6482213086682107,-3.312342342342342,0.21448948948948948,0.007215169766397245,-0.44644747267648444,0.025330498759269293
tft,random_forest,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,5.796388888888889,0.16,3.1391666666666667,0.9760125379112188,1.7374469101559002,-1.5892867867867864,-0.30162162162162165,0.007897208918346776,-0.3572218711887949,0.026012537911218825
tft,raw_tau,val,clasp,normal,10.0,8,1,16,0.05,0.5,3600,3.607222222222222,0.7263888888888889,-1.1927777777777777,0.9748661316770907,1.610373573051315,-3.7784534534534533,0.26476726726726724,0.006750802684218682,-0.48429520829338024,0.02486613167709073
